Book Name,Author Name,Publisher Name,List Price,Selling Price,Binding,Release Date,Language
Old New York, Edith Wharton,Scribner Book Company,"Rs.1,386","Rs.1,081",Paperback,01 Mar 1995,English

Cambodia,Brian Fawcett,Grove Press,"Rs.1,274","Rs.1,045",Paperback,19 Oct 1989,English

Introduction to Solar Photonics,Jennifer A Dionne,CRC Press,Not mentioned,"Rs.6,737",Hardback,15 Apr 2021,English

"Faithscapes, Femalescapes and Townscapes",Athalya Brenner-idan,T & T Clark International,Not mentioned,"Rs.7,406",Hardback,22 Apr 2021,English

The East Asian Modern Girl,Sumei Wang,Brill,Not mentioned,"Rs.9,167",Hardback,15 Apr 2021,English

Conflict in Fourteenth-Century Iberia,Donald J Kagay,Brill,Not mentioned,"Rs.16,672",Hardback,22 Apr 2021,English

Die Mathematik Des Sozialstaats,Milena Guthorl,V&r Academic,Not mentioned,"Rs.4,414",Hardback,12 Apr 2021,German

"§§ 481 - 569: Mit Haager Regeln, Haag-Visby Regeln, Hamburg Regeln, Rotterdam Regeln",Klaus Ramming,Walter de Gruyter,Not mentioned,"Rs.25,880",Hardback,15 Apr 2021,German

The Book of Laughs,Meaghan McIsaac,Boyds Mills Press,"Rs.1,386","Rs.1,220",Hardback,06 Apr 2021,English

Bettering Humanomics,Deirdre Nansen McCloskey,University of Chicago Press,Not mentioned,"Rs.2,731",Paperback,22 Apr 2021,English

St. Benedict's Rule,Judith Sutera,Liturgical Press,"Rs.1,922","Rs.1,384",Paperback,15 Apr 2021,English

Arabic Medicine in China,Eugene N Anderson,Brill,Not mentioned,"Rs.16,672",Hardback,22 Apr 2021,English

"Richard Kilvington on the Capacity of Created Beings, Infinity, and Being Simultaneously in Rome and Paris",Monika Michalowska,Brill,Not mentioned,"Rs.9,009",Hardback,22 Apr 2021,Latin

Visualizing the Past in Italian Renaissance Art,Douglas N Dow,Brill,Not mentioned,"Rs.14,223",Hardback,22 Apr 2021,English

Dib�jalo!,Fernando De Pablo,Almuzara,"Rs.1,845","Rs.1,347",Paperback,15 Apr 2021,Spanish

The Pope and the Pandemic,Agbonkhianmeghe E Orobator,Orbis Books,"Rs.1,540","Rs.1,124",Paperback,21 Apr 2021,English

